City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
220,Carballo,ES,2020-07-02 03:35:47,43.21,-8.69,59.0,89,71,1.41
221,Vuktyl,RU,2020-07-02 03:35:47,63.86,57.31,59.14,54,92,9.95
222,Manzil Salim,TN,2020-07-02 03:35:47,35.86,8.48,66.2,93,0,5.82
223,Hambantota,LK,2020-07-02 03:26:54,6.12,81.12,82.4,94,20,11.41
224,Poum,NC,2020-07-02 03:26:27,-20.23,164.02,70.43,60,2,12.68
225,Yenagoa,NG,2020-07-02 03:26:49,4.92,6.26,74.03,95,100,4.09
226,Iqaluit,CA,2020-07-02 03:26:41,63.75,-68.51,55.4,66,75,8.05
227,Saldanha,ZA,2020-07-02 03:26:34,-33.01,17.94,46.4,87,0,1.12
228,Yerbogachen,RU,2020-07-02 03:35:48,61.28,108.01,80.4,36,95,6.2
229,Mangai,CD,2020-07-02 03:35:48,-4.05,19.53,69.82,81,7,0.58
230,Katakwi,UG,2020-07-02 03:35:48,1.89,33.97,65.77,83,98,3.24
231,Jardim,BR,2020-07-02 03:26:39,-21.48,-56.14,50.94,68,0,2.82
232,Nizhnyaya Omka,RU,2020-07-02 03:35:48,55.43,74.94,68.22,84,100,7.96
233,Zanjan,IR,2020-07-02 03:31:45,36.67,48.48,60.8,48,40,16.11
234,Quata,BR,2020-07-02 03:35:48,-22.25,-50.7,48.34,92,1,5.14
235,Ukiah,US,2020-07-02 03:35:49,39.15,-123.21,82.4,26,1,8.05
236,Tilichiki,RU,2020-07-02 03:35:49,60.47,166.1,59.05,43,17,13.02
237,Hamilton,US,2020-07-02 03:22:06,39.18,-84.53,79.0,88,1,6.53
238,Skjervoy,NO,2020-07-02 03:35:49,70.03,20.97,44.58,94,100,10.94
239,Kollam,IN,2020-07-02 03:35:49,8.88,76.6,86.0,70,20,5.82
240,Abancay,PE,2020-07-02 03:35:49,-13.63,-72.88,51.67,61,79,0.76
241,Kampene,CD,2020-07-02 03:35:49,-3.6,26.67,66.09,92,23,1.54
242,Shestakovo,RU,2020-07-02 03:35:49,56.49,103.96,89.06,27,0,9.13
243,Zhangye,CN,2020-07-02 03:35:49,38.93,100.45,87.57,12,60,3.98
244,Vung Tau,VN,2020-07-02 03:35:49,10.35,107.08,82.92,79,88,8.63
245,Port Hawkesbury,CA,2020-07-02 03:35:49,45.62,-61.35,64.4,100,1,2.24
246,Rexburg,US,2020-07-02 03:35:49,43.83,-111.79,66.2,34,75,9.17
247,Biltine,TD,2020-07-02 03:35:50,14.53,20.92,82.44,47,0,7.16
248,Paraiso,CR,2020-07-02 03:35:50,9.84,-83.87,68.0,100,75,2.24
249,Te Anau,NZ,2020-07-02 03:26:49,-45.42,167.72,44.8,72,10,1.01
250,Umm Kaddadah,SD,2020-07-02 03:35:50,13.6,26.69,82.99,50,2,13.35
251,Torbay,CA,2020-07-02 03:27:04,47.67,-52.73,66.0,93,90,16.11
