City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
259,Praia Da Vitoria,PT,38.73,-27.07,68.0,94,40,7.29,scattered clouds,0.0,0
260,Geraldton,AU,-28.77,114.6,62.6,67,2,8.05,clear sky,0.0,0
261,Abilene,US,32.45,-99.73,78.8,78,1,5.82,clear sky,0.0,0
262,Quepos,CR,9.42,-84.17,69.8,100,20,3.36,few clouds,0.0,0
263,Romny,UA,50.75,33.47,67.87,94,0,5.12,clear sky,0.0,0
264,Rimbey,CA,52.63,-114.24,64.4,68,40,4.7,scattered clouds,0.0,0
265,Kahului,US,20.89,-156.47,84.2,51,40,21.92,scattered clouds,0.0,0
266,Boa Vista,BR,2.82,-60.67,77.0,88,75,8.05,thunderstorm with light rain,0.0,0
267,Serik,TR,36.92,31.1,77.0,94,40,2.24,scattered clouds,0.0,0
268,Muros,ES,42.78,-9.06,63.0,78,0,7.0,clear sky,0.0,0
269,Riachao Do Jacuipe,BR,-11.81,-39.39,62.62,94,0,2.55,clear sky,0.0,0
270,Ust-Kalmanka,RU,52.12,83.31,65.71,86,92,10.56,overcast clouds,0.0,0
271,Spring Hill,US,28.48,-82.53,75.0,100,1,4.7,clear sky,0.0,0
272,Sanand,IN,22.98,72.38,80.6,88,75,5.82,haze,0.0,0
273,Rocha,UY,-34.48,-54.33,41.59,92,54,4.18,broken clouds,0.0,0
274,Albufeira,PT,37.09,-8.25,80.01,50,0,4.7,clear sky,0.0,0
275,Den Chai,TH,17.98,100.05,89.6,70,20,3.36,few clouds,0.0,0
276,Lagoa,PT,39.05,-27.98,67.37,90,8,10.78,clear sky,0.0,0
277,Avera,US,33.19,-82.53,73.4,92,90,6.93,heavy intensity rain,0.0,0
278,Stornoway,GB,58.21,-6.39,50.0,93,100,5.82,light rain,0.2,0
279,Novoagansk,RU,61.94,76.66,68.09,60,100,3.42,overcast clouds,0.0,0
280,Olafsvik,IS,64.89,-23.71,51.15,71,95,7.67,overcast clouds,0.0,0
281,San Pedro,PH,14.35,121.02,93.0,63,68,5.01,broken clouds,0.0,0
282,Edd,ER,13.93,41.69,87.13,56,44,3.83,scattered clouds,0.0,0
283,Kathmandu,NP,27.72,85.32,77.0,83,75,2.15,broken clouds,0.0,0
284,Tarakan,ID,3.3,117.63,79.38,83,100,9.19,light rain,0.35,0
285,Mount Gambier,AU,-37.83,140.77,53.6,76,90,2.24,overcast clouds,0.0,0
286,Saint-Augustin,CA,51.23,-58.65,58.01,71,59,7.76,broken clouds,0.0,0
287,Huambo,AO,-12.78,15.74,44.33,57,46,3.29,scattered clouds,0.0,0
288,Kapuskasing,CA,49.42,-82.43,75.2,78,75,6.93,broken clouds,0.0,0
289,Kaka,TM,37.35,59.61,83.7,15,0,3.4,clear sky,0.0,0
290,Ouadda,CF,8.08,22.4,67.28,95,100,2.57,overcast clouds,0.0,0
291,Seoul,KR,37.57,126.98,77.0,73,90,7.96,overcast clouds,0.0,0
292,Verkhnevilyuysk,RU,63.45,120.32,68.41,43,32,2.68,scattered clouds,0.0,0
293,Vao,NC,-22.67,167.48,69.71,73,100,12.24,light rain,0.17,0
294,Rawson,AR,-43.3,-65.1,39.51,73,0,11.3,clear sky,0.0,0
295,Arumbavur,IN,11.38,78.73,87.8,58,40,11.41,scattered clouds,0.0,0
296,Bac Lieu,VN,9.29,105.72,85.8,67,59,8.01,broken clouds,0.0,0
297,Klaksvik,FO,62.23,-6.59,44.6,81,100,16.11,overcast clouds,0.0,0
298,Araouane,ML,18.9,-3.53,91.65,24,0,9.73,clear sky,0.0,0
299,Praya,CV,14.92,-23.51,75.2,83,20,4.7,few clouds,0.0,0
300,Dingle,PH,11.0,122.67,87.87,67,37,10.27,scattered clouds,0.0,0
301,Rio Gallegos,AR,-51.62,-69.22,15.8,92,90,2.24,fog,0.0,0
302,Skagen,DK,57.72,10.58,57.0,74,0,34.0,clear sky,0.0,0
303,Aromashevo,RU,56.86,68.64,69.75,76,98,4.38,overcast clouds,0.0,0
304,Mikuni,JP,36.22,136.15,82.4,83,75,8.05,light intensity shower rain,0.0,0
305,Coahuayana,MX,18.73,-103.68,79.66,80,93,1.34,light rain,0.37,0
306,Kuzhener,RU,56.81,48.91,70.27,84,0,3.53,clear sky,0.0,0
307,Samarai,PG,-10.62,150.67,77.92,82,93,18.05,light rain,0.11,0
308,Kloulklubed,PW,7.04,134.26,84.2,74,75,5.82,broken clouds,0.0,0
309,Suntar,RU,62.14,117.63,70.66,40,88,2.53,overcast clouds,0.0,0
